City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,61.81,clear sky,-33.65,115.3333,Observatory Guest House
7,Lompoc,US,60.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
10,Sinjār,IQ,67.32,clear sky,36.3209,41.8754,زوماني فون 1
18,Cidreira,BR,72.39,broken clouds,-30.1811,-50.2056,Hotel Castelo
19,Ponta do Sol,PT,65.3,few clouds,32.6667,-17.1,Hotel do Campo
32,Pāndoh,IN,65.17,clear sky,31.6833,77.05,PWD Rest House
33,Faya,SA,69.76,clear sky,18.3851,42.4509,املاك خالد الشعشوع
41,Santa Fe,AR,65.98,light rain,-31.6333,-60.7,Conquistador Hotel
51,Hermanus,ZA,69.67,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
57,Port Elizabeth,ZA,71.65,few clouds,-33.918,25.5701,39 On Nile Guest House
60,Kapaa,US,74.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Avarua,CK,74.32,scattered clouds,-21.2078,-159.775,Paradise Inn
79,Mar del Plata,AR,61.23,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
83,Ahipara,NZ,61.14,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
84,Cabo San Lucas,MX,72.55,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Ribeira Grande,PT,62.56,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
89,Cape Town,ZA,68.83,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
92,Mollendo,PE,65.07,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
95,Saldanha,ZA,67.87,broken clouds,-33.0117,17.9442,Blue Bay Lodge
98,Hilo,US,72.36,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
102,Gelendzhik,RU,62.73,broken clouds,44.5731,38.0747,Kaliforniya
104,Makakilo City,US,73.47,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
105,Paramonga,PE,65.08,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
114,Bagotville,AU,67.89,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
