City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagoa,PT,2021-11-24 21:16:49,39.05,-27.9833,63.45,77,72,34.14
1,Hermanus,ZA,2021-11-24 21:16:13,-34.4187,19.2345,60.8,74,0,20.92
2,Kuching,MY,2021-11-24 21:16:50,1.55,110.3333,77.22,94,40,0.0
3,Balakhninskiy,RU,2021-11-24 21:16:50,58.0106,114.2769,-8.37,88,99,2.68
4,Albany,US,2021-11-24 21:14:51,42.6001,-73.9662,40.32,54,3,3.51
5,Port Lincoln,AU,2021-11-24 21:16:51,-34.7333,135.8667,60.31,82,11,20.56
6,Hilo,US,2021-11-24 21:16:00,19.7297,-155.09,80.62,69,20,5.75
7,Rong Kwang,TH,2021-11-24 21:16:51,18.339,100.3174,67.55,96,66,1.9
8,Ajdabiya,LY,2021-11-24 21:16:52,30.7554,20.2263,68.95,55,53,3.85
9,Jamestown,US,2021-11-24 21:16:52,42.097,-79.2353,44.19,54,1,5.99
10,Turki,RU,2021-11-24 21:16:53,51.987,43.2731,23.94,55,100,18.39
11,Touros,BR,2021-11-24 21:10:31,-5.1989,-35.4608,83.3,77,46,16.04
12,Tiksi,RU,2021-11-24 21:16:53,71.6872,128.8694,-7.42,92,100,5.97
13,Yumen,CN,2021-11-24 21:16:54,40.2833,97.2,27.7,31,4,12.64
14,Longhua,CN,2021-11-24 21:16:55,23.6137,114.1919,53.78,52,27,2.86
15,Bluff,NZ,2021-11-24 21:16:55,-46.6,168.3333,55.81,66,100,7.43
16,Prince Rupert,CA,2021-11-24 21:15:02,54.3161,-130.3201,44.29,85,90,37.98
17,Hobart,AU,2021-11-24 21:16:56,-42.8794,147.3294,63.1,67,20,1.99
18,Kavieng,PG,2021-11-24 21:16:56,-2.5744,150.7967,83.03,72,16,12.46
19,Caravelas,BR,2021-11-24 21:16:57,-17.7125,-39.2481,75.29,82,98,5.39
20,Butaritari,KI,2021-11-24 21:16:57,3.0707,172.7902,82.17,70,95,14.27
